technique,id,name,tactics,data_sources,data_sources_num
T1573,T1573.002,Asymmetric Cryptography (T1573.002),command-and-control,Application Log: Application Log Content|Module: Module Load|Network Traffic: Network Connection Creation|Network Traffic: Network Traffic Content|Network Traffic: Network Traffic Flow|Process: Process Creation,6
T1574,T1574,Hijack Execution Flow (T1574),stealth|execution,File: File Creation|File: File Modification|Module: Module Load|Process: Process Creation|Service: Service Metadata|Windows Registry: Windows Registry Key Modification,6
T1574,T1574.001,DLL (T1574.001),stealth|execution,File: File Creation|File: File Metadata|Module: Module Load|Process: Process Creation|Windows Registry: Windows Registry Key Modification,5
T1574,T1574.004,Dylib Hijacking (T1574.004),stealth|execution,File: File Creation|File: File Modification|Module: Module Load,3
T1574,T1574.005,Executable Installer File Permissions Weakness (T1574.005),stealth|execution,File: File Creation|File: File Metadata|Module: Module Load|Process: Process Creation,4
T1574,T1574.006,Dynamic Linker Hijacking (T1574.006),stealth|execution,File: File Creation|File: File Modification|Module: Module Load|Process: Process Creation|Process: Process Metadata,5
T1574,T1574.007,Path Interception by PATH Environment Variable (T1574.007),stealth|execution,File: File Creation|File: File Modification|Process: Process Creation|Windows Registry: Windows Registry Key Modification,4
T1574,T1574.008,Path Interception by Search Order Hijacking (T1574.008),stealth|execution,File: File Creation|File: File Metadata|Process: Process Creation,3
T1574,T1574.009,Path Interception by Unquoted Path (T1574.009),stealth|execution,File: File Creation|File: File Metadata|Process: Process Creation|Windows Registry: Windows Registry Key Modification,4
T1574,T1574.010,Services File Permissions Weakness (T1574.010),stealth|execution,File: File Creation|File: File Metadata|Process: Process Creation|Service: Service Creation,4
T1574,T1574.011,Services Registry Permissions Weakness (T1574.011),stealth|execution,Process: Process Creation|Service: Service Modification|Windows Registry: Windows Registry Key Modification,3
T1574,T1574.012,COR_PROFILER (T1574.012),stealth|execution,File: File Creation|Module: Module Load|Process: Process Creation|Windows Registry: Windows Registry Key Modification,4
T1574,T1574.013,KernelCallbackTable (T1574.013),stealth|execution,Process: OS API Execution|Process: Process Access|Process: Process Creation,3
T1574,T1574.014,AppDomainManager (T1574.014),stealth|execution,File: File Creation|Module: Module Load|Process: Process Creation,3
T1578,T1578,Modify Cloud Compute Infrastructure (T1578),defense-impairment,Cloud Service: Cloud Service Metadata|Instance: Instance Start|Instance: Instance Stop|Snapshot: Snapshot Creation|Snapshot: Snapshot Deletion|Snapshot: Snapshot Modification|Volume: Volume Creation|Volume: Volume Deletion|Volume: Volume Modification,9
T1578,T1578.001,Create Snapshot (T1578.001),defense-impairment,Snapshot: Snapshot Creation|Snapshot: Snapshot Metadata,2
T1578,T1578.002,Create Cloud Instance (T1578.002),defense-impairment,Instance: Instance Creation|Instance: Instance Metadata|Instance: Instance Start,3
T1578,T1578.003,Delete Cloud Instance (T1578.003),defense-impairment,Instance: Instance Deletion|Instance: Instance Metadata|Instance: Instance Stop,3
T1578,T1578.004,Revert Cloud Instance (T1578.004),defense-impairment,Instance: Instance Modification|Instance: Instance Start|Instance: Instance Stop,3
T1578,T1578.005,Modify Cloud Compute Configurations (T1578.005),defense-impairment,Cloud Service: Cloud Service Modification,1
T1580,T1580,Cloud Infrastructure Discovery (T1580),discovery,Cloud Storage: Cloud Storage Enumeration|Instance: Instance Enumeration|Instance: Instance Metadata,3
T1583,T1583,Acquire Infrastructure (T1583),resource-development,Domain Name: Active DNS|Domain Name: Domain Registration|Domain Name: Passive DNS|Internet Scan: Response Content|Internet Scan: Response Metadata,5
T1583,T1583.001,Domains (T1583.001),resource-development,Domain Name: Active DNS|Domain Name: Domain Registration|Domain Name: Passive DNS,3
T1583,T1583.002,DNS Server (T1583.002),resource-development,,0
T1583,T1583.003,Virtual Private Server (T1583.003),resource-development,Internet Scan: Response Content|Internet Scan: Response Metadata,2
T1583,T1583.004,Server (T1583.004),resource-development,Internet Scan: Response Content|Internet Scan: Response Metadata,2
T1583,T1583.005,Botnet (T1583.005),resource-development,,0
T1583,T1583.006,Web Services (T1583.006),resource-development,Internet Scan: Response Content,1
T1583,T1583.007,Serverless (T1583.007),resource-development,Internet Scan: Response Content,1
T1583,T1583.008,Malvertising (T1583.008),resource-development,Internet Scan: Response Content,1
T1584,T1584,Compromise Infrastructure (T1584),resource-development,Domain Name: Active DNS|Domain Name: Domain Registration|Domain Name: Passive DNS|Internet Scan: Response Content|Internet Scan: Response Metadata,5
T1584,T1584.001,Domains (T1584.001),resource-development,Domain Name: Active DNS|Domain Name: Domain Registration|Domain Name: Passive DNS,3
T1584,T1584.002,DNS Server (T1584.002),resource-development,Domain Name: Active DNS|Domain Name: Passive DNS,2
T1584,T1584.003,Virtual Private Server (T1584.003),resource-development,Internet Scan: Response Content|Internet Scan: Response Metadata,2
T1584,T1584.004,Server (T1584.004),resource-development,Internet Scan: Response Content|Internet Scan: Response Metadata,2
T1584,T1584.005,Botnet (T1584.005),resource-development,,0
T1584,T1584.006,Web Services (T1584.006),resource-development,Internet Scan: Response Content,1
T1584,T1584.007,Serverless (T1584.007),resource-development,Internet Scan: Response Content,1
T1584,T1584.008,Network Devices (T1584.008),resource-development,Internet Scan: Response Content,1
